time_period,rainfall,mean_temperature,disease_cases,location
2002-08,10.248,21.76,9,Amazonas
2002-09,77.18,21.81,7,Amazonas
2002-10,43.5,25.1,6,Amazonas
2002-11,163.166,23.32,10,Amazonas
2002-12,284.552,24,7,Amazonas
2003-01,318.482,23.4,10,Amazonas
2003-02,67.091,24.26,12,Amazonas
2003-03,132.573,23.48,43,Amazonas
2003-04,57.831,22.58,24,Amazonas
2003-05,23.746,20.39,57,Amazonas
2003-06,1.606,20.36,37,Amazonas
2003-07,7.483,19.14,28,Amazonas
2003-08,23.671,20.49,3,Amazonas
2003-09,27.856,22.5,3,Amazonas
2003-10,63.373,23.19,2,Amazonas
2003-11,125.204,23.22,16,Amazonas
2003-12,200.148,24.07,14,Amazonas
2004-01,267.174,22.64,17,Amazonas
2004-02,268.184,22.31,50,Amazonas
2004-03,188.114,21.96,21,Amazonas
2004-04,119.469,21.5,11,Amazonas
2004-05,27.019,20.45,8,Amazonas
2004-06,19.32,18.64,7,Amazonas
2004-07,22.651,18.01,5,Amazonas
2004-08,2.748,20.04,0,Amazonas
2004-09,6.473,23.09,1,Amazonas
2004-10,79.109,23.47,1,Amazonas
2004-11,120.315,23.5,11,Amazonas
2004-12,249.544,22.97,7,Amazonas
2005-01,242.82,23.43,12,Amazonas
2005-02,147.98,23.11,18,Amazonas
2005-03,197.406,22.96,17,Amazonas
2005-04,34.372,22.95,14,Amazonas
2005-05,28.536,20.88,14,Amazonas
2005-06,15.638,19.62,14,Amazonas
2005-07,14.211,18.86,4,Amazonas
2005-08,7.034,20.95,10,Amazonas
2005-09,54.669,22.65,2,Amazonas
2005-10,58.622,25.03,1,Amazonas
2005-11,247.866,21.94,1,Amazonas
2005-12,248.616,22.02,2,Amazonas
2006-01,85.086,23.89,9,Amazonas
2006-02,132.754,24.83,16,Amazonas
2006-03,229.624,22.91,20,Amazonas
2006-04,74,21.66,5,Amazonas
2006-05,19.046,19.65,4,Amazonas
2006-06,9.473,18.57,13,Amazonas
2006-07,7.946,19.06,9,Amazonas
2006-08,13.278,21.12,19,Amazonas
2006-09,53.334,21.64,16,Amazonas
2006-10,158.112,21.94,20,Amazonas
2006-11,237.006,21.92,14,Amazonas
2006-12,299.818,22.77,4,Amazonas
2007-01,273.903,23.41,3,Amazonas
2007-02,180.564,22.69,16,Amazonas
2007-03,44.134,23.8,12,Amazonas
2007-04,60.833,22.88,27,Amazonas
2007-05,15.862,20.72,7,Amazonas
2007-06,3.182,19.66,4,Amazonas
2007-07,15.151,19.9,14,Amazonas
2007-08,3.776,20.19,6,Amazonas
2007-09,9.49,22.66,2,Amazonas
2007-10,38.447,24.8,2,Amazonas
2007-11,146.228,24.15,2,Amazonas
2007-12,195.626,23.35,6,Amazonas
2008-01,224.941,22.92,124,Amazonas
2008-02,180.615,23.24,191,Amazonas
2008-03,187.594,22.57,238,Amazonas
2008-04,107.899,22.46,196,Amazonas
2008-05,17.099,20.22,78,Amazonas
2008-06,8.676,19.52,29,Amazonas
2008-07,3.179,18.59,64,Amazonas
2008-08,10.561,21.33,51,Amazonas
2008-09,50.995,22.29,28,Amazonas
2008-10,40.031,24.67,101,Amazonas
2008-11,232.964,22.96,211,Amazonas
2008-12,316.278,22.33,226,Amazonas
2009-01,264.085,23.07,272,Amazonas
2009-02,139.768,23.79,86,Amazonas
2009-03,179.552,23.92,67,Amazonas
2009-04,118.28,21.55,21,Amazonas
2009-05,25.398,20.25,25,Amazonas
2009-06,26.729,19,16,Amazonas
2009-07,10.452,20.15,32,Amazonas
2009-08,25.069,20.73,43,Amazonas
2009-09,62.066,23.37,44,Amazonas
2009-10,211.691,23.2,62,Amazonas
2009-11,116.502,24.02,172,Amazonas
2009-12,290.46,23.13,211,Amazonas
2010-01,99.209,24.38,615,Amazonas
2010-02,71.692,25.18,511,Amazonas
2010-03,204.454,23.46,390,Amazonas
2010-04,67.511,21.88,212,Amazonas
2010-05,32.673,20.9,249,Amazonas
2010-06,8.76,18.59,209,Amazonas
2010-07,10.527,19.63,434,Amazonas
