location,time_period,horizon_distance,sample,forecast
LA-BK,201009,1,97,0.0
LA-BK,201009,1,98,2.563856226300143
LA-BK,201009,1,99,2.1478977428507138
LA-BK,201010,2,0,0.0
LA-BK,201010,2,1,0.08240017812444511
LA-BK,201010,2,2,52.96322574882122
LA-BK,201010,2,3,0.0
LA-BK,201010,2,4,0.0
LA-BK,201010,2,5,0.0
LA-BK,201010,2,6,1.0283068139703122
LA-BK,201010,2,7,3.1480994235560638
LA-BK,201010,2,8,0.08240017812444511
LA-BK,201010,2,9,4.321985397295948
LA-BK,201010,2,10,2.618151271159626
LA-BK,201010,2,11,1.3302756284727324
LA-BK,201010,2,12,0.0
LA-BK,201010,2,13,13.507061317453182
LA-BK,201010,2,14,0.4983586615738742
LA-BK,201010,2,15,22.316178946499594
LA-BK,201010,2,16,0.8003274760762944
LA-BK,201010,2,17,29.855453657065546
LA-BK,201010,2,18,4.8459226416235754
LA-BK,201010,2,19,0.0
LA-BK,201010,2,20,3.1480994235560638
LA-BK,201010,2,21,0.0
LA-BK,201010,2,22,13.667062086807608
LA-BK,201010,2,23,3.6780475759525015
LA-BK,201010,2,24,6.019808615363461
LA-BK,201010,2,25,5.0739019795175935
LA-BK,201010,2,26,10.17939344985775
LA-BK,201010,2,27,9.655456205530124
LA-BK,201010,2,28,4.851933549692386
LA-BK,201010,2,29,0.0
LA-BK,201010,2,30,23.40011888356771
LA-BK,201010,2,31,1.0283068139703122
LA-BK,201010,2,32,5.5298606553056295
LA-BK,201010,2,33,1.4442652974197412
LA-BK,201010,2,34,8.293591086234827
LA-BK,201010,2,35,9.729445682138525
LA-BK,201010,2,36,7.649653264891381
LA-BK,201010,2,37,0.0
LA-BK,201010,2,38,0.0
LA-BK,201010,2,39,3.2620890925030723
LA-BK,201010,2,40,1.6722446353137586
LA-BK,201010,2,41,3.2960783767728685
LA-BK,201010,2,42,4.014005674724718
LA-BK,201010,2,43,0.0
LA-BK,201010,2,44,15.35887439680631
LA-BK,201010,2,45,0.0
LA-BK,201010,2,46,0.0
LA-BK,201010,2,47,3.564057907005493
LA-BK,201010,2,48,0.2703793236798565
LA-BK,201010,2,49,0.0
LA-BK,201010,2,50,0.0
LA-BK,201010,2,51,0.0
LA-BK,201010,2,52,0.6123483305208831
LA-BK,201010,2,53,0.0
LA-BK,201010,2,54,0.0
LA-BK,201010,2,55,0.0
LA-BK,201010,2,56,0.0
LA-BK,201010,2,57,0.8003274760762944
LA-BK,201010,2,58,0.0
LA-BK,201010,2,59,6.4417780068817
LA-BK,201010,2,60,0.4983586615738742
LA-BK,201010,2,61,1.4442652974197412
LA-BK,201010,2,62,9.923435735762746
LA-BK,201010,2,63,20.57835553609348
LA-BK,201010,2,64,0.0
LA-BK,201010,2,65,8.561570616467451
LA-BK,201010,2,66,2.2021927877101968
LA-BK,201010,2,67,7.03970472781773
LA-BK,201010,2,68,11.917216860263869
LA-BK,201010,2,69,1.0283068139703122
LA-BK,201010,2,70,5.187891648464602
LA-BK,201010,2,71,9.615456013191515
LA-BK,201010,2,72,5.381881702088824
LA-BK,201010,2,73,5.039912695247797
LA-BK,201010,2,74,0.0
LA-BK,201010,2,75,42.7802211843419
LA-BK,201010,2,76,4.737943880745377
LA-BK,201010,2,77,0.0
LA-BK,201010,2,78,3.7120368602222973
LA-BK,201010,2,79,0.0
LA-BK,201010,2,80,1.0283068139703122
LA-BK,201010,2,81,11.701259338507471
LA-BK,201010,2,82,8.515559516060035
LA-BK,201010,2,83,0.0
LA-BK,201010,2,84,0.6123483305208831
LA-BK,201010,2,85,0.0
LA-BK,201010,2,86,1.6322444429751521
LA-BK,201010,2,87,6.435767098812889
LA-BK,201010,2,88,3.2620890925030723
LA-BK,201010,2,89,4.094006059401931
LA-BK,201010,2,90,0.2703793236798565
LA-BK,201010,2,91,2.0482029264245813
LA-BK,201010,2,92,9.535455628514304
LA-BK,201010,2,93,13.057113549733959
LA-BK,201010,2,94,0.6863378071292855
LA-BK,201010,2,95,6.971726159278138
LA-BK,201010,2,96,0.0
LA-BK,201010,2,97,4.321985397295948
LA-BK,201010,2,98,0.0
LA-BK,201010,2,99,0.0
LA-BL,201008,0,0,55.481647552585315
LA-BL,201008,0,1,154.3058854482747
LA-BL,201008,0,2,116.54754423497417
LA-BL,201008,0,3,76.075636019438
LA-BL,201008,0,4,352.87851799172756
LA-BL,201008,0,5,93.06589001625073
LA-BL,201008,0,6,74.60972688319023
LA-BL,201008,0,7,802.7282161511914
LA-BL,201008,0,8,27.036469908669716
LA-BL,201008,0,9,167.1867180392867
LA-BL,201008,0,10,127.44246518933653
LA-BL,201008,0,11,215.05407434045816
LA-BL,201008,0,12,40.12517294922623
LA-BL,201008,0,13,85.76661645971642
LA-BL,201008,0,14,600.308348408462
LA-BL,201008,0,15,255.0161432919474
LA-BL,201008,0,16,40.9231006318553
LA-BL,201008,0,17,66.13864351705911
LA-BL,201008,0,18,87.1365686512236
LA-BL,201008,0,19,73.36185143284195
LA-BL,201008,0,20,90.49013873087694
LA-BL,201008,0,21,373.59600661080106
LA-BL,201008,0,22,551.7669997456031
LA-BL,201008,0,23,68.56040494114728
LA-BL,201008,0,24,294.05634923986605
LA-BL,201008,0,25,86.54858758228212
